,descrizione,numero
192,Laurea in scienze dell'amministrazione;  Impiegato,1
193,Agricoltore,2
194,Diploma di liceo scientifico; Imprenditrice,1
195,Laurea in scienze motorie; Manager sportiva,1
196,Dirigente di associazione femminile.,4
197,Laurea in giurisprudenza;  Sindaco,1
198,Laurea in ingegneria; imprenditrice,1
199,Laurea in scienze della pubblica amministrazione conseguita presso la LUMSA di Roma; imprenditore,4
200,Laurea in medicina e chirurgia; Medico,1
201,Presidente fondazione Antonino Scopelliti,1
202,Laurea in scienze forestali e ambientali; Dottore forestale,1
203,Laurea in pedagogia: insegnante,1
204,diploma di maturità; dirigente di partito politico,1
205,Laurea in filosofia; insegnante.,13
206,Diploma di liceo linguistico;  Dirigente di partito,1
207,Laurea in giurisprudenza; docente universitario,3
208,"Laurea in scienze politiche, Dottorato di ricerca in demografia ed economia delle grandi aree geografiche, Specializzazione in Migrazione ed esclusione sociale",1
209,Diploma di istituto tecnico commerciale; Segretario di associazione sindacale,1
210,Scrittrice,2
211,Laurea in ingegneria edile; Ingegnere edile,1
212,"Laurea in scienze politiche; giornalista, direttore",1
213,Laurea in lingue e letterature straniere; coordinatrice democratiche di sinistra,3
214,"Laurea in architettura; architetto, insegnante",1
215,Laurea in giurisprudenza; Avvocato patrocinante in Cassazione,1
216,"Laurea in lingue e letterature straniere, Master e PhD in letteratura francese; Professore associato in letteratura francese",1
217,"Diploma di ragioniere; Consulente, insegnante",1
218,Laurea in economia e commercio; preside scuola media superiore,1
219,Diploma di istituto magistrale; Dipendente pubblico,1
220,Laurea in giurisprudenza; Praticante avvocato abilitato al patrocinio,1
221,Laurea in lettere: insegnante,2
222,Laurea in lettere; pubblicista.,10
223,Laurea in economia e commercio; Responsabile amministrativo,2
224,"Diploma di istituto magistrale, Laureanda in giurisprudenza;  Imprenditore nel settore del wellness",1
225,Laurea in scienze linguistiche e letterature straniere; Imprenditrice,2
226,Medico;,1
227,Laurea in scienze politiche e delle relazioni internazionali; Dipendente pubblico,1
228,Laurea in giurisprudenza;  Dipendente di azienda bancaria,1
229,Laurea in giurisprudenza; Funzionario regione Emilia Romagna,1
230,Laurea in antropologia e archeologia conseguita a Cambridge; giornalista professionista,1
231,"Laurea in medicina e chirurgia, Specializzazione in neuropschiatria infantile; Neuropsichiatra infantile, Professore ordinario di storia della medicina",1
232,diploma di assistente comunità infantili;impiegato di azienda privata,2
233,Laurea in giurisprudenza;  Avvocato penalista patrocinante in Cassazione,1
234,Laurea in lettere moderne; Funzionario settore formazione e politiche del lavoro regione Liguria,1
235,"Laurea in giurisprudenza; Diploma di specializzazione per le professioni legali, Avvocato",1
236,Laurea in chimica e tecnologie farmaceutiche;  Dirigente farmacista ASL,1
237,Istituto magistrale; dirigente di partito,1
238,"Laurea in giurisprudenza, Master in diritto societario; Avvocato in diritto societario",3
239,Laurea in giurisprudenza;  Imprenditore del settore turistico,1
240,Professoressa di economia ecologica; P.h.D.,1
241,"Laurea in economia e commercio, Master in marketing;  Addetto alle pubbliche relazioni",1
242,Dottorato di ricerca; Avvocato,1
243,Casalinga.,2
244,Diploma di segretaria di azienda; Impiegata,1
245,Laurea in medicina e chirurgia; medico,2
246,Laurea magistrale in scienze delle professioni sanitarie tecnico ed assistenziali; Libero professionista,1
247,Laurea in scienze economiche e commerciali; commercialista,1
248,Istituto tecnico femminile - dirigente di comunità; sindaco del comune di  Borgolavezzaro - dipendente rete ferroviaria italiana,1
249,Diploma di istituto tecnico per periti aziendali; Impiegato,2
250,"Laurea in conservazione dei beni culturali, Laurea in archeologia, Specializzazione all'insegnamento della storia dell'arte, Abilitazione all'inegnamento di alunni diversamente abili; Insegnante di scuola secondaria superiore",1
251,Laurea in economia aziendale,2
252,"Laurea in psicologia del lavoro e delle organizzazioni, Master di secondo livello in scienze forensi; Dipendente pubblico",2
253,Licenza media superiore; istituto magistrale; insegnante scuola elementare,2
254,Laurea in lettere moderne; insegnante,4
255,Laurea in lettere; funzionario pubblico,1
256,Insgenante,4
257,Laurea in scienze giuridiche; Parlamentare,1
258,Laurea in economia e commercio; Dottore commercilista e revisore dei conti,1
259,"laurea in lettere moderne;giornalista, consulente editoriale",3
260,Laurea in giurisprudenza; conduttrice tv,1
261,"Laurea in giurisprudenza, Master in legge; Avvocato civilista e amministrativista",1
262,Laurea in linguistica; Dipendente pubblico,1
263,Diploma di liceo scientifico; Dirigente di partito,2
264,Laurea in giurisprudenza; Avvocato lavorista,3
265,Dirigente di azienda privata,1
266,"Laurea in economia e commercio; Dottore commercialista, docente in informatica",1
267,Laurea in lettere e filosofia; Impiegato,1
268,"Laurea in scienze politiche; Manager nel settore agroalimentare, Assessore al comune di Piacenza",1
269,maturita' classica;imprenditore,2
270,"Laurea in architettura; Dipentente tecnico Ministero beni culturali, Assessore ai lavori pubblici del Comune di Udine",1
271,Laurea in lingue e letterature straniere; giornalista,2
272,"Laurea in giurisprudenza, Specializzazione in diritto amministrativo, Dottorato di ricerca in diritto costituzionale; Avvocato",1
273,Laurea in giurisprudenza; Funzionario di Camera di Commercio,1
274,Laurea in lingue e letterature straniere; Giornalista professionista,2
275,Diploma di conservatorio; insegnante.,4
276,Laurea in scienze politiche; docente universitario,6
277,"Laurea in giurisprudenza; Assessore comunale; Assessore regionale, Avvocato",1
278,Maturita' classica; giornalista,2
279,Laurea in economia e commercio; dipendente di azienda privata,2
280,Laurea in lingue e letterature straniere (europee),1
281,Liceo linguistico; imprenditore - settore industriale,1
282,Laurea in pedagogia,3
283,Diploma di liceo scientifico; Giornalista pubblicista,1
284,laurea in giurisprudenza;avvocato,2
285,Laurea in scienze della produzione animale; Imprenditore del settore dei servizi,1
286,Insegnante,11
287,"Dirigente di comunità; Sindaco del comune di Borgolavezzaro (NO) dal 2004 al 2009, Dipendente rete ferroviaria italiana",1
288,Laurea in giurisprudenza; Magistrato di cassazione,1
289,Laurea in psicologia;  Dirigente pubblico,1
290,"Laurea in giurisprudenza, Master in politiche di pace e cooperazione allo sviluppo nell'area del Mediterraneo; Libera professione",1
291,"Laurea in filosofia teoretica, morale, politica ed estetica; Dottoranda in Political Theory",1
292,Studentessa,2
293,"Laurea in economia e commercio, Master in epidemiologia dei servizi sanitari; Funzionario pubblico dell'istituto superiore di prevenzione e sicurezza sui luoghi di lavoro",1
294,LAUREA IN SCIENZE POLITICHE; Giornalista professionista in aspettativa,1
295,"Laurea in giurisprudenza; Sindaco, Presidente dell'agenzia di sviluppo integrato del Calatino, Avvocato, Vice procuratore onorario",1
296,Laurea in scienze naturali; Insegnante di scuola secondaria inferiore,1
297,Diploma di liceo linguistico,3
298,Laurea in scienze politiche; imprenditore - settore industriale,1
299,Diploma di istituto tecnico commerciale; Funzionario comunale,2
300,"Laurea in filosofia, Master in mediazione culturale; Operatrice sociale e culturale",1
301,Licenza media superiore; pensionata,1
302,"Laurea in giurisprudenza; già Parlamentare europea, Amministratrice regionale, Vice Presidente Regione Emilia Romagna",1
303,"Laurea in medicina e chirurgia, Specializzazione in igiene;  Medico ospedaliero",1
304,Laurea in commercio internazionale e culture straniere,1
305,Licenza media inferiore; operaia metalmeccanica,1
306,Laurea in medicina e chirurgia; docente universitario.,4
307,Diploma di istituto tecnico commerciale,2
308,Laurea in lingue e letterature straniere;  Docente universitario,1
309,Diploma di liceo scientifico; Consigliere comunale,1
310,Diploma di istituto tecnico industriale; Impiegato,2
311,Laurea in scienze politiche; docente scuola media superiore,2
312,Maturita' scientifica; dirigente azienda privata,1
313,Laurea in fisioterapia; Fisioterapista,2
314,Laurea in filosofia; Sindaco,1
315,"Laurea in economia dello Sviluppo Avanzata, Master in Economia, Soas Università di Londra, Dottorato di ricerca in economia; Ricercatore",1
