Governo,Ministro,nome,cognome,gender
I Governo Moro,Ministro senza Portafoglio,ATTILIO,PICCIONI,male
II Governo Moro,Ministro senza Portafoglio,ATTILIO,PICCIONI,male
III Governo Moro,Ministro senza Portafoglio,ATTILIO,PICCIONI,male
II Governo Leone,Ministro senza Portafoglio,ATTILIO,PICCIONI,male
I Governo Moro,Ministro degli Affari Esteri,GIUSEPPE,SARAGAT,male
II Governo Moro,Ministro degli Affari Esteri,GIUSEPPE,SARAGAT,male
VI Governo De Gasperi,Ministro dell'Interno,MARIO,SCELBA,male
I Governo Moro,Ministro della Difesa,GIULIO,ANDREOTTI,male
II Governo Moro,Ministro della Difesa,GIULIO,ANDREOTTI,male
III Governo Moro,MInistro dell'Industria e Commercio,GIULIO,ANDREOTTI,male
III Governo Moro,"Ministro dell'Industria, Commercio e Artigianato",GIULIO,ANDREOTTI,male
II Governo Leone,"Ministro dell'Industria, Commercio e Artigianato",GIULIO,ANDREOTTI,male
VI Governo De Gasperi,Ministro delle Poste e Telecomunicazioni,GIUSEPPE,SPATARO,male
I Governo Moro,Ministro dell'Interno,PAOLO EMILIO,TAVIANI,male
II Governo Moro,Ministro dell'Interno,PAOLO EMILIO,TAVIANI,male
III Governo Moro,Ministro dell'Interno,PAOLO EMILIO,TAVIANI,male
I Governo Rumor,Ministro senza Portafoglio,PAOLO EMILIO,TAVIANI,male
II Governo Rumor,Ministro senza Portafoglio,PAOLO EMILIO,TAVIANI,male
VI Governo De Gasperi,Ministro dell'Industria e Commercio,GIUSEPPE,TOGNI,male
VI Governo De Gasperi,Ministro dei Lavori Pubblici,SALVATORE,ALDISIO,male
VI Governo De Gasperi,Ministro dei Trasporti,PIETRO,CAMPILLI,male
VI Governo De Gasperi,Ministro senza Portafoglio,PIETRO,CAMPILLI,male
VI Governo De Gasperi,Ministro del Lavoro e della Previdenza Sociale,ACHILLE,MARAZZA,male
VI Governo De Gasperi,Ministro dell'Agricoltura e Foreste,ANTONIO,SEGNI,male
VI Governo De Gasperi,Ministro dei Trasporti,LODOVICO,D'ARAGONA,male
VI Governo De Gasperi,Ministro degli Affari Esteri,CARLO,SFORZA,male
II Governo Leone,Ministro senza Portafoglio,TIZIANO,TESSITORI,male
VI Governo De Gasperi,Ministro delle Finanze,EZIO,VANONI,male
VI Governo De Gasperi,Ministro del Commercio con l'Estero,UGO,LA MALFA,male
VI Governo De Gasperi,Ministro senza Portafoglio,UGO,LA MALFA,male
I Governo Rumor,Ministro della Marina Mercantile,GIUSEPPE,LUPIS,male
I Governo Moro,Ministro di Grazia e Giustizia,ORONZO,REALE,male
II Governo Moro,Ministro di Grazia e Giustizia,ORONZO,REALE,male
III Governo Moro,Ministro di Grazia e Giustizia,ORONZO,REALE,male
I Governo Rumor,Ministro delle Finanze,ORONZO,REALE,male
VI Governo De Gasperi,Ministro del Commercio con l'Estero,IVAN MATTEO,LOMBARDO,male
I Governo Moro,Ministro delle Finanze,ROBERTO,TREMELLONI,male
II Governo Moro,Ministro delle Finanze,ROBERTO,TREMELLONI,male
III Governo Moro,Ministro della Difesa,ROBERTO,TREMELLONI,male
VI Governo De Gasperi,Ministro della Marina Mercantile,RAFFAELE PIO,PETRILLI,male
