d,nome,cognome,legislatura,gender
http://dati.camera.it/ocd/deputato.rdf/d10100_1,PAOLO,ROSSI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10160_1,ARMANDO,SABATINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10170_1,DINO,SACCENTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10190_1,MARIO,SAGGIN,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10200_1,NICOLA,SALERNO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10220_1,UMBERTO,SAMPIETRO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10310_1,FRANCESCO,SCIAUDONE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10370_1,GIOVANNI,SERBANDINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10410_1,LUIGI,SILIPO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10450_1,GIOVANNI,SODANO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10510_1,CARLO,STAGNO D'ALCONTRES,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10530_1,ACHILLE,STUANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10560_1,PAOLO,SURACI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10580_1,LEONILDO,TAROZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10620_1,ROMANO,TOMMASI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10630_1,EGIDIO,TOSATO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10650_1,ROBERTO,TREMELLONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10680_1,GIUSEPPE,TUDISCO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10700_1,VINCENZO,TURCO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10760_1,CARLO EUGENIO,VENEGONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10770_1,GIUSEPPE,VERONESI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10840_1,RICCARDO,WALTER,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10870_1,UMBERTO,ZANFAGNINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10890_1,TOMMASO,ZERBI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10920_1,MICHELANGELO,TRIMARCHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11210_1,GIULIO ANDREA,BELLONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11220_1,SALVATORE,PAGLIUCA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11230_1,FAUSTO,GULLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11240_1,GIUSEPPE,LATORRE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11290_1,MARIO,ANGELUCCI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11300_1,FRANCESCO,DE VITA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11320_1,ERNESTO,CARPANO MAGLIOLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11330_1,LODOVICO SFORZA,BENVENUTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11380_1,GIUSEPPE,NITTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11400_1,LEONE OSVALDO,GIROLAMI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11410_1,LUIGI,PALMIERI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11420_1,VITO,MONTERISI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11430_1,CARLO,FARINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11440_1,MICHELE,TROISI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11450_1,CARMINE,DE MARTINO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11460_1,BORTOLO EUGENIO,FINA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11520_1,EUGENIO,DUGONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11530_1,FILIPPO,GUERRIERI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11560_1,PRIAMO,BIGIANDI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11590_1,CORNELIO,FIETTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11600_1,NATALE VASCO,JACOPONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11640_1,LUIGI,ZAPPELLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11650_1,ENNIO,AVANZINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11660_1,BERNARDO,MATTARELLA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11680_1,ALCIDE,PIRAZZI MAFFIOLA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11710_1,VINCENZO,LA ROCCA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d11720_1,GIORGIO,MASTINO DEL RIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
