Governo,Ministro,nome,cognome,gender,legislatura
I Governo Leone,Ministro degli Affari Esteri,ATTILIO,PICCIONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
III Governo Fanfani,Ministro senza Portafoglio,ATTILIO,PICCIONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
IV Governo Fanfani,MInistro senza Portafoglio,ATTILIO,PICCIONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
V Governo De Gasperi,Ministro senza Portafoglio,ATTILIO,PICCIONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
V Governo De Gasperi,Ministro della Marina Mercantile,GIUSEPPE,SARAGAT,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
III Governo Fanfani,Ministro dell'Interno,MARIO,SCELBA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
V Governo De Gasperi,Ministro dell'Interno,MARIO,SCELBA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
II Governo Fanfani,Ministro del Tesoro,GIULIO,ANDREOTTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro della Difesa,GIULIO,ANDREOTTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro della Difesa,GIULIO,ANDREOTTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
III Governo Fanfani,Ministro della Difesa,GIULIO,ANDREOTTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
IV Governo Fanfani,Ministro della Difesa,GIULIO,ANDREOTTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Leone,Ministro della Difesa,GIULIO,ANDREOTTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
II Governo Fanfani,Ministro della Marina Mercantile,GIUSEPPE,SPATARO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro delle Poste e Telecomunicazioni,GIUSEPPE,SPATARO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro dell'Interno,GIUSEPPE,SPATARO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
III Governo Fanfani,Ministro dei Trasporti,GIUSEPPE,SPATARO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro delle Finanze,PAOLO EMILIO,TAVIANI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro del Tesoro,PAOLO EMILIO,TAVIANI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
III Governo Fanfani,Ministro del Tesoro,PAOLO EMILIO,TAVIANI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
IV Governo Fanfani,Ministro dell'Interno,PAOLO EMILIO,TAVIANI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Fanfani,Ministro dei Lavori Pubblici,GIUSEPPE,TOGNI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro dei Lavori Pubblici,GIUSEPPE,TOGNI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro dei Lavori Pubblici,GIUSEPPE,TOGNI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Leone,Ministro dell'Industria e Commercio,GIUSEPPE,TOGNI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
V Governo De Gasperi,Ministro senza Portafoglio,ALBERTO,GIOVANNINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
IV Governo Fanfani,Ministro della Marina Mercantile,GINO,MACRELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro delle Poste e Telecomunicazioni,ANTONIO,MAXIA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Fanfani,Ministro della Difesa,ANTONIO,SEGNI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro dell'Interno,ANTONIO,SEGNI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro degli Affari Esteri,ANTONIO,SEGNI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
III Governo Fanfani,Ministro degli Affari Esteri,ANTONIO,SEGNI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
IV Governo Fanfani,Ministro degli Affari Esteri,ANTONIO,SEGNI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
V Governo De Gasperi,Ministro dell'Agricoltura e Foreste,ANTONIO,SEGNI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
V Governo De Gasperi,Ministro dell'Industria e Commercio,GIOVANNI BATTISTA,BERTONE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
V Governo De Gasperi,Ministro del Commercio con l'Estero,GIOVANNI BATTISTA,BERTONE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
V Governo De Gasperi,Ministro senza Portafoglio,GIOVANNI,PORZIO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
V Governo De Gasperi,Ministro degli Affari Esteri,CARLO,SFORZA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
III Governo Fanfani,Ministro senza Portafoglio,TIZIANO,TESSITORI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro del Turismo e Spettacolo,UMBERTO,TUPINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro del Turismo e Spettacolo,UMBERTO,TUPINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
V Governo De Gasperi,Ministro dei Lavori Pubblici,UMBERTO,TUPINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
II Governo Segni,Ministro senza Portafoglio,UMBERTO,TUPINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
V Governo De Gasperi,Ministro delle Finanze,EZIO,VANONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
V Governo De Gasperi,Ministro del Commercio con l'Estero,CESARE,MERZAGORA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
IV Governo Fanfani,Ministro del Bilancio,UGO,LA MALFA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
V Governo De Gasperi,Ministro dell'Industria e Commercio,IVAN MATTEO,LOMBARDO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
I Governo Renzi,Vice Ministro delle Politiche agricole alimentari e forestali,ANDREA,OLIVERO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
I Governo Renzi,Vice Ministro delle Infrastrutture e dei trasporti,RICCARDO,NENCINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
I Governo Renzi,Vice Ministro dell'Economia e delle finanze,ANTONIO ENRICO,MORANDO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
I Governo Renzi,Vice Ministro dell'Economia e delle finanze,LUIGI,CASERO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
I Governo Renzi,Vice ministro della giustizia,ENRICO,COSTA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
I Governo Renzi,Vice ministro dello sviluppo economico,CLAUDIO,DE VINCENTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
