legislatura,Governo,Ministro,nome,cognome
http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,I Governo Scelba,Ministro dellì'Agricoltura e Foreste,GIUSEPPE,MEDICI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,I Governo Segni,Ministro del Tesoro,GIUSEPPE,MEDICI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,I Governo Zoli,Ministro del Tesoro,GIUSEPPE,MEDICI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,I Governo Zoli,Ministro delle Partecipazioni Statali,GIORGIO,BO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,"Ministro dell'istruzione, dell'università e della ricerca",MARIASTELLA,GELMINI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio per le pari opportunità,MARIA ROSARIA,CARFAGNA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio,MARIA ROSARIA,CARFAGNA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio per i rapporti con le regioni,RAFFAELE,FITTO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio,RAFFAELE,FITTO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio per i rapporti con le regioni e per la coesione territoriale,RAFFAELE,FITTO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio per le politiche per i giovani,GIORGIA,MELONI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio,GIORGIA,MELONI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio della gioventù,GIORGIA,MELONI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Vice Ministro delle infrastrutture e dei trasporti,AURELIO SALVATORE,MISITI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_17,I Governo Letta,Vice Ministro dell'Interno,FILIPPO,BUBBICO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio,MICHELA VITTORIA,BRAMBILLA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio per il Turismo,MICHELA VITTORIA,BRAMBILLA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio per le politiche europee,ANNA MARIA,BERNINI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio per la pubblica amministrazione e l'innovazione,RENATO,BRUNETTA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro senza portafoglio,RENATO,BRUNETTA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Vice Ministro dello Sviluppo economico,CATIA,POLIDORI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro delle politiche agricole e forestali,LUCA,ZAIA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,Ministro delle politiche agricole e forestali,LUCA,ZAIA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,IV Governo Berlusconi,"Vice Ministro del Lavoro, della Salute e delle Politiche sociali",FERRUCCIO,FAZIO
