d,cognome,nome,legislatura,gruppoParlamentare
http://dati.camera.it/ocd/deputato.rdf/d12060_1,RUSSO PEREZ,GUIDO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d12110_0,TREVES,PAOLO,http://dati.camera.it/ocd/legislatura.rdf/costituente,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d12110_1,TREVES,PAOLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d12150_1,PETRILLI,RAFFAELE PIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d12190_0,MALAGUGINI,ALCIDE,http://dati.camera.it/ocd/legislatura.rdf/costituente,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d12190_2,MALAGUGINI,ALCIDE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d12190_2,MALAGUGINI,ALCIDE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d12190_3,MALAGUGINI,ALCIDE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d12270_3,GUIDI,ALBERTO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d12330_2,SIMONINI,ALBERTO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d12420_1,VIGORELLI,EZIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d12420_1,VIGORELLI,EZIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d12420_2,VIGORELLI,EZIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,PRESIDENTE
