nome,cognome,gender,legislatura
JOLE,SANTELLI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
JOLE,SANTELLI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
JOLE,SANTELLI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
GABRIELLA,CARLUCCI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
GABRIELLA,CARLUCCI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
GABRIELLA,CARLUCCI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
ERMINIA,MAZZONI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
ERMINIA,MAZZONI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
VIVIANA,BECCALOSSI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
OLGA,DI SERIO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
OLGA,DI SERIO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
OLGA,DI SERIO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
MONICA STEFANIA,BALDI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
ISABELLA,BERTOLINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
ISABELLA,BERTOLINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
ISABELLA,BERTOLINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
MARGHERITA,COLUCCINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
BEATRICE MARIA,MAGNOLFI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
SILVANA,PISA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
SIMONETTA,LICASTRO SCARDINO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
SIMONETTA,LICASTRO SCARDINO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
CAROLINA,LUSSANA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
CAROLINA,LUSSANA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
CAROLINA,LUSSANA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
CHIARA,MORONI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
CHIARA,MORONI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
CHIARA,MORONI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
PATRIZIA,PAOLETTI TANGHERONI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
PATRIZIA,PAOLETTI TANGHERONI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
LUANA,ZANELLA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
LUANA,ZANELLA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
KATIA,ZANOTTI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
KATIA,ZANOTTI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
GRAZIELLA,MASCIA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
GRAZIELLA,MASCIA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
CATERINA,DE SIMONE,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
CATERINA,DE SIMONE,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
ELETTRA,DEIANA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
ELETTRA,DEIANA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
CARLA,MAZZUCA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
CARLA,MAZZUCA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
GIULIANA,REDUZZI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
ALBA,SASSO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
ALBA,SASSO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
OSVALDA,TRUPIA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
OSVALDA,TRUPIA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
OSVALDA,TRUPIA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
CINZIA,DATO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
DANIELA,MAZZUCONI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
DANIELA,MAZZUCONI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
DANIELA,GARNERO SANTANCHE',female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
DANIELA,GARNERO SANTANCHE',female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
DANIELA,GARNERO SANTANCHE',female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
MARILDE,PROVERA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
MARILDE,PROVERA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
AMALIA,SCHIRRU,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
AMALIA,SCHIRRU,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
LAURA,FRONER,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
LAURA,FRONER,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
MANUELA,DI CENTA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
MANUELA,DI CENTA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
MARIASTELLA,GELMINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
MARIASTELLA,GELMINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
MARIASTELLA,GELMINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
EMILIA GRAZIA,DE BIASI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
EMILIA GRAZIA,DE BIASI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
STEFANIA GABRIELLA ANASTASIA,CRAXI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
STEFANIA GABRIELLA ANASTASIA,CRAXI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
LUISA,CAPITANIO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
LUISA,CAPITANIO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
PAOLA,FRASSINETTI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
PAOLA,FRASSINETTI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
LAURA,RAVETTO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
LAURA,RAVETTO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
LAURA,RAVETTO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
LINDA,LANZILLOTTA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
LINDA,LANZILLOTTA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
ROSALBA,BENZONI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
MARIA PAOLA,MERLONI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
MARIA PAOLA,MERLONI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
DONATA,LENZI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
DONATA,LENZI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
DONATA,LENZI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
MANUELA,GHIZZONI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
MANUELA,GHIZZONI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
MARIA IDA,GERMONTANI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
FLAVIA,PERINA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
FLAVIA,PERINA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
SILVIA,VELO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
SILVIA,VELO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
MARIZA ANTONIETTA GIUDITTA,BAFILE,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
GIUSEPPINA,FASCIANI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
MARISA,NICCHI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
ROSA,SUPPA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
MARIA EMILIA,INTRIERI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
MERCEDES LOURDES,FRIAS,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
MARIA CRISTINA,PERUGIA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
GIULIA,BONGIORNO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
LUANA,ANGELONI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
SILVIA,BARBIERI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
ANNA,BOSELLI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
LEDA,COLOMBINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
CRISTIANA,MUSCARDINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
PATRIZIA,ARNABOLDI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
FRANCA,BASSI MONTANARI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
ADA,BECCHI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
ANNA MARIA,BERNASCONI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
LUIGINA,BERNOCCO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
GIUSEPPINA,BERTONE,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
CRISTINA,BEVILACQUA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
MARISA,BONFATTI PAINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
AGATA LUCIA ALMA,CAPPIELLO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
LAURA,CONTI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
LUIGIA,CORDATI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
ANNALISA,DIAZ,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
SILVANA,FACHIN,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
MARIELLA,GRAMAGLIA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
MARIA TERESA,GROSSO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
BIANCA,GUIDETTI SERRA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
GIGLIOLA,LO CASCIO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
NATIA,MAMMONE,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
RAFFAELLA,MARIANI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
VIVIANA,BECCALOSSI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
MARIA LAURA,PAXIA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
VITA,MARTINCIGLIO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
ROBERTA,ALAIMO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
ELISA,TRIPODI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
MARA,LAPIA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
MARIALUCIA,LOREFICE,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
VITTORIA,CASA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
MARIA,MARZANA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
MIRELLA,EMILIOZZI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
PATRIZIA,TERZONI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
SIMONA,SURIANO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
GIULIA,GRILLO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
PIERA,AIELLO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18
MARIA MADDALENA,ROSSI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
MARIA MADDALENA,ROSSI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
