nome,cognome,gender
UMBERTO,CARDIA,male
NICOLA,GALDO,male
EGIDIO,CARENINI,male
CESARE,DEGLI OCCHI,male
GUIDO,MERIZZI,male
LUCIANO,ROMAGNOLI,male
UMBERTO,ZURLINI,male
MAURO SILVANO,LOMBARDI,male
ALBERTO MARIO,CAROCCI,male
LUIGI,CASTAGNO,male
MARIO,JANNELLI,male
GENNARO,VILLELLI,male
LUIGI,ZANONI,male
CARLO,OLMINI,male
AMEDEO,RUBEO,male
PAOLO,ANGELINO,male
ANTONIO,BERARDI,male
GIUSEPPE,CARRA',male
ANTONIO,BODRITO,male
ANTONIO,ZOBOLI,male
BRUNO,ROMANO,male
ANTONIO,MESSENI NEMAGNA,male
GIUSEPPE,BALASSO,male
ALESSANDRO,CARRI,male
ACHILLE,CRUCIANI,male
VIRGILIO,FERRARI,male
ENZO,POLI,male
LUDOVICO,ANGELINI,male
ALFREDO,CROCCO,male
GIANUARIO,CARTA,male
GIULIO,MONTELATICI,male
LUIGI,GRASSI,male
GIULIO,COLI,male
PALMIRO,TOGLIATTI,male
FRANCESCO,VERGA,male
GIACOMO,CALANDRONE,male
ROMOLO,DIECIDUE,male
ROBERTO,CANTALUPO,male
ALESSANDRO,GATTA,male
GIANFRANCO,ROCELLI,male
ANTONIO,CARUSO,male
BENEDETTO,DEL CASTILLO,male
DOMENICO,MEZZADRA,male
LUIGI,PINTOR,male
ARNALDO,ZUCCHINI,male
GERARDO,BRUNI,male
RAFFAELE,DE GRADA,male
RENATO,BASTIANELLI,male
UGO,BARTESAGHI,male
AMBROGIO,VIALE,male
GENNARO,MICELI,male
FRANCESCO,RESTIVO,male
FALCO,ACCAME,male
NICOLA,ADAMO,male
GUIDO,ALBORGHETTI,male
FRANCESCO ,ALICI,male
ABDON,ALINOVI,male
PAOLO,ALLEGRA,male
GIOVANNI,AMABILE,male
DOMENICO,AMALFITANO,male
GIUSEPPE,AMARANTE,male
FRANCO,AMBROGIO,male
ALFONSO,AMBROSINO,male
CESARE,AMICI,male
GAETANO,ANGIUS,male
ANGELO,CASTELLI,male
ALDO,ANIASI,male
VARESE,ANTONI,male
GAETANO,ARFE',male
ANGELO,ARMELLA,male
MARIO,ARNONE,male
AIMONE,BALBO DI VINADIO,male
MORENO,BAMBI,male
ARNALDO,BARACETTI,male
AUGUSTO ANTONIO,BARBERA,male
ALBERTINO,CASTELLUCCI,male
ENZO,BARTOCCI,male
PIERO,BASSETTI,male
ERIASE,BELARDI,male
ANTONIO,BELLOCCHIO,male
VINICIO,BERNARDINI,male
FAUSTO,BOCCHI,male
MARIO,BOLOGNARI,male
ANDREA,BORRI,male
ANDREA,BORRUSO,male
BENIAMINO,BROCCA,male
PAOLO PIETRO,BROCCOLI,male
ANTONINO,BRUSCA,male
NICOLA,CATALDO,male
MASSIMO,CACCIARI,male
ARMANDO,CALAMINICI,male
GIOVANNI,CALICE,male
MARIO,CAMPAGNOLI,male
GIANCARLO,CANTELMI,male
LEO,CANULLO,male
LORENZO,CAPPELLI,male
GUIDO,CAPPELLONI,male
NICOLA,CAPRIA,male
GUIDO,CARANDINI,male
FRANCESCO,CATANZARITI,male
RODOLFO,CARELLI,male
GIOVANNI BATTISTA,CARLASSARA,male
NATALE,CARLOTTO,male
PIETRO,CARMENO,male
IGNAZIO,CARUSO,male
GIORGIO,CASALINO,male
FRANCESCO,CASATI,male
VITTORE,CATELLA,male
GIUSEPPE,CASTOLDI,male
BENITO,CAZORA,male
ALBERTO,CECCHI,male
ADRIANO,CERQUETTI,male
GIANLUCA,CERRINA FERONI,male
LEONARDO,CIANNAMEA,male
FABRIZIO,CICCHITTO,male
LORENZO,CIRASINO,male
FORTUNATO,ALOI,male
PAOLO,CIRINO POMICINO,male
FRANCESCO,CATTANEI,male
SEVERINO,CITARISTI,male
EZIO,CITTERIO,male
GIULIO,COLOMBA,male
FLAVIO,COLONNA,male
GIOVANNI BATTISTA,COLURCIO,male
ANTONIO,CONTE,male
PIETRO,CONTI,male
SALVATORE,CORALLO,male
RAFFAELE,COSTA,male
ANGELO GAETANO,CRESCO,male
STEFANO,CAVALIERE,male
CLELIO,DARIDA,male
OLINDO,DEL DONNO,male
GIANNI,DE MICHELIS,male
GUIDO,CECCHERINI,male
MARTE,FERRARI,male
SERGIO,CERAVOLO,male
GIUSEPPE,FORNASARI,male
VINCENZO,GATTO,male
FRANCESCO,GIULIARI,male
BENITO,CERRA,male
CARLO,CERRI,male
SILVANO,LABRIOLA,male
PASQUALE,LAMORTE,male
GIROLAMO,LA PENNA,male
PINO,LECCISI,male
PIETRO,CERULLO,male
ANTONINO,LOMBARDO,male
PIETRO,LONGO,male
GIUSEPPE,LUCCHESI,male
GIORGIO,MACCIOTTA,male
LUCIO,MAGRI,male
PIERGIOVANNI,MALVESTIO,male
VITTORIO,CERVONE,male
MANFREDO,MANFREDI,male
CALOGERO,MANNINO,male
MARIO,MARTINELLI,male
GINO,CESARONI,male
MARIO CLEMENTE,MASTELLA,male
MARINO,CORDER,male
SILVERIO,CORVISIERI,male
MARIO,CRAVEDI,male
EMO,DANESI,male
FRANCESCO,DA PRATO,male
PAOLO,DE CARO,male
MASSIMO,DE CAROLIS,male
VINCENZO,DE COSMO,male
MICHELE,DE GREGORIO,male
GIOVANNI,DEL RIO,male
MAZARINO MARCO,DE PETRO,male
ALFREDO,DE POI,male
ADOLFO,FACCHINI,male
GIOVANNI,FANTACI,male
GUIDO,FANTI,male
CAMILLO,FEDERICO,male
NEVIO,FELICETTI,male
SILVESTRO ANDREINO,FERRARI,male
COSTANTINO,FORMICA,male
LUCIANO,FORNI,male
SALVATORE,FORTE,male
GIUSEPPE,FORTUNATO,male
HUGO,GAMPER,male
RAFFAELE,GARZIA,male
NATALINO,GATTI,male
RAFFAELE GIUSEPPE CARMELO,GIURA LONGO,male
MASSIMO,GORLA,male
NATALE,GOTTARDO,male
LELIO,GRASSUCCI,male
GENNARO,GUADAGNO,male
ENRICO,GUALANDI,male
NAZZARENO,GUASSO,male
PAOLO,GUERRINI,male
GUIDO,IANNI,male
GIOVANCARLO,IOZZELLI,male
BRUNO,KESSLER,male
SALVATORE,LA ROCCA,male
PIER GIORGIO,LICHERI,male
FRANCESCO,LUSSIGNOLI,male
GIUSEPPE,MANFREDI,male
SALVATORE,MANNUZZU,male
VIRGINIANGELO,MARABINI,male
ANDREA,MARGHERI,male
FIORENZO,MAROLI,male
ALFREDO,MARRAFFINI,male
LEOPOLDO ATTILIO,MARTINO,male
GIUSEPPE,MARTON,male
FRANCESCO,MARTORELLI,male
VITILIO,MASIELLO,male
ANTONIO,MATARRESE,male
MAURO,MELLINI,male
ALDO,CETRULLO,male
AMLETO,MONSELLATO,male
VITO,NAPOLI,male
ACHILLE,OCCHETTO,male
BRUNO,ORSINI,male
GIACINTO,PANNELLA,male
GIANMARIO,PELLIZZARI,male
COSTANTE,PORTATADINO,male
ELIO,QUERCIOLI,male
LUIGI,ROSSI DI MONTELERA,male
ANTONIO,RUBBI,male
EMILIO,RUBBI,male
GASPARE,SALADINO,male
GIOSUE',SALOMONE,male
NICOLAMARIA,SANESE,male
MARTINO,SCOVACRICCHI,male
MARIOTTO GIOVANNI BATTISTA,SEGNI,male
GIULIANO,SILVESTRI,male
ALBERTO,CIAMPAGLIA,male
MARIO,TASSONE,male
ANTONIO,TESTA,male
ANGELO,TIRABOSCHI,male
BARTOLOMEO,CICCARDINI,male
MARIO,USELLINI,male
MARIO,CIRILLO,male
CARLO,VIZZINI,male
BRUNO,ZAMBON,male
ANTONINO,ZANIBONI,male
VALERIO,ZANONE,male
GIOVANNI,ZARRO,male
RENATO,ALTISSIMO,male
GIUSEPPE,ZUECH,male
GIOVANNI,FERRARI,male
GIUSEPPE,ALPINO,male
GHERARDO,TADDIA,male
CARLO,RICCA,male
ALESSANDRO,BUTTE',male
GIUSEPPE,MUSCARIELLO,male
GIACOMO,DE PALMA,male
AGOSTINO,PAVAN,male
ARTURO,MARZANO,male
LUDOVICO,CAMANGI,male
CALOGERO,VOLPE,male
ORESTE,LIZZADRI,male
SAMUELE,ANDREUCCI,male
LUIGI,PASSONI,male
AMERIGO,BOTTAI,male
VITTORINO,CARRA,male
FRANCO,COCCIA,male
CALOGERO,DI GLORIA,male
UGO,NAPOLI,male
FERRUCCIO,BIAGINI,male
VITTORIO,MARTUSCELLI,male
LUIGI,CERUTTI,male
GIANCARLO,MORELLI,male
GIORGIO,TUPINI,male
FRANCESCO,INFANTINO,male
VENERIO,CATTANI,male
GUIDO,GRIMALDI,male
BRUNO,STEGAGNINI,male
ADO GUIDO,DI MAURO,male
LAMBERTO,BERTUCCI,male
GIOVANNI,D'ANTONIO,male
FRANCESCO,BARBACCIA,male
ANGELO,LANDI,male
LIBERATO,BRONZUTO,male
GIUSEPPE,CODACCI PISANELLI,male
PAOLO,ALATRI,male
FRANCESCO,PIGNATONE,male
MAURO,SEPPIA,male
GIANMARIO,VIANELLO,male
ELIO,FREGONESE,male
ANTONIO,PIGNEDOLI,male
DOMENICO,CERAVOLO,male
GUALTIERO,DRIUSSI,male
WALTER,ALINI,male
FRANCESCO,LOPERFIDO,male
COSIMO,ABATE,male
AMAELE,ABBIATI,male
ANGELO,ABENANTE,male
GELASIO,ADAMOLI,male
ALESSANDRO,AGRIMI,male
VITTORIO,AICARDI,male
EMILIO,COLOMBO,male
ADELIO,ALBARELLO,male
