nome,cognome,legislatura,incarico
ALBERTO,SIMONINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
MARIO,BERLINGUER,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
GIULIO,TURCHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,QUESTORE
EZIO,VIGORELLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,PRESIDENTE
VITO GIUSEPPE,GALATI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
TARCISIO,PACATI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
BRUNO,MURGIA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17,CAPOGRUPPO
PINO,CABRAS,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,VICEPRESIDENTE
PINO,CABRAS,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,CAPOGRUPPO
GIORGIO,TRIZZINO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,VICEPRESIDENTE
FRANCESCO,D'UVA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,QUESTORE
FRANCESCO,D'UVA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,CAPOGRUPPO
ANDREA,CECCONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,CAPOGRUPPO
EUGENIO,SAITTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,CAPOGRUPPO
MARIO,PERANTONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,PRESIDENTE
PAOLO,FICARA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,VICEPRESIDENTE
ANDREA,GIARRIZZO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,VICEPRESIDENTE
TULLIO,PATASSINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,CAPOGRUPPO
GIUSEPPE,ROMANATO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,PRESIDENTE
GIANFRANCO,ALIVERTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,VICEPRESIDENTE
PAOLO,ROSSI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
LUIGI,BORGHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,SEGRETARIO
EMILIO,SERENI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
ADRIANO,SERONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
LEONARDANTONIO,SFORZA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,SEGRETARIO
FRANCO,BORTOLANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,PRESIDENTE
FRANCO,BORTOLANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,PRESIDENTE
PRIMO,SILVESTRI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,SEGRETARIO
PRIMO,SILVESTRI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
PRIMO,SILVESTRI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,VICEPRESIDENTE
GIULIO,SPALLONE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
GIUSEPPE,SPECIALE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,SEGRETARIO
EGIDIO,SULOTTO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,SEGRETARIO
EGIDIO,SULOTTO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,VICEPRESIDENTE
MAURO,TOGNONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,SEGRETARIO
MAURO,TOGNONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
MAURO,TOGNONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,SEGRETARIO
MAURO,TOGNONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,QUESTORE
