nome,cognome,gender,legislatura
FILIPPO,GUERRIERI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
QUIRICO,BACCELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
PRIAMO,BIGIANDI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
FRANCO,AIMI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
NATALE VASCO,JACOPONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
ENNIO,AVANZINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
BERNARDO,MATTARELLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
CARLO,CIBOTTO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
VINCENZO,LA ROCCA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
GIORGIO,MASTINO DEL RIO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
SALVATORE,SCOCA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
ARTURO,BURATO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
BRUNETTO,BUCCIARELLI DUCCI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
RENZO,LACONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
RAFFAELE,CAFIERO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
ALESSANDRO,SCOTTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
GIULIO,PASTORE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
PIETRO,BUFFONE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
PAOLO,BONOMI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
PAOLO,BONOMI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
ERCOLE,ROCCHETTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
GIUSEPPE,ROMANATO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
BARTOLOMEO,ROMANO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
PAOLO,ROSSI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
PAOLO MARIO,ROSSI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
SALVATORE,RUSSO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
ARMANDO,SABATINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
RAFFAELLO,SALUTARI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
CARLO,SCARASCIA MUGNOZZA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
VITO,SCARONGELLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
PASQUALE,SCHIANO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
RAFFAELE,SCIORILLI BORRELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
GUIDO,SECRETO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
ADRIANO,SERONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
LEONARDANTONIO,SFORZA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
RENZO,SILVESTRI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
GIOVANNI,SODANO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
TOMMASO,SORGI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
ODO,SPADAZZI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
GIUSEPPE,SPECIALE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
BRUNO,STORTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
EGIDIO,SULOTTO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
MAURO,TOGNONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
ROBERTO,TREMELLONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
MARIANO,TROMBETTA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
TULLIO,VECCHIETTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
CARLO EUGENIO,VENEGONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
GIUSEPPE,VERONESI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
ARTURO,VIVIANI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
FRANCO,ZAPPA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
VINCENZO,MAROTTA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
GIUSEPPE,AVOLIO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
ENRICO,ALBA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
VITTORIO,CECATI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
ALESSANDRO,FERRETTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
DOMENICO,LECCISI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
VITO,SCALIA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
VINICIO,BALDELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
ALDO,BOZZI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
LUCIANO,DE PASCALIS,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
CASIMIRO,VIZZINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
UGO,MARCHESI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
FAUSTO,GULLO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
MATTEO,AGOSTA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
ALFONSO,CERRETI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
MARIO,ANGELUCCI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
FRANCESCO,DE VITA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
GUIDO,CORTESE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
EDOARDO,D'ONOFRIO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
MICHELE,TROISI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
CARMINE,DE MARTINO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
SALVATORE ANGELO,GITTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
FILIPPO,GUERRIERI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
QUIRICO,BACCELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
FRANCO,AIMI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
NATALE VASCO,JACOPONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
SILVIO,AMBROSINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
BERNARDO,MATTARELLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
CARLO,CIBOTTO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
PIETRO,BUCALOSSI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
BRUNETTO,BUCCIARELLI DUCCI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
RENZO,LACONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
RAFFAELE,CAFIERO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
FEDERICO,COMANDINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
GIULIO,PASTORE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
PIETRO,BUFFONE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
PAOLO,BONOMI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05
GIUSEPPE,ROMANATO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
PAOLO,ROSSI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
LUIGI,BORGHI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
PAOLO MARIO,ROSSI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
VINCENZO MARIO,RUSSO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
ARMANDO,SABATINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
GIUSEPPE,SACCHI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
CARLO,BORRA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
CARLO,SCARASCIA MUGNOZZA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
RENATO,SCIONTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
CARLO,SCOTONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
GUIDO,SECRETO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
GIOVANNI,SERBANDINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
EMILIO,SERENI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
ADRIANO,SERONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
LEONARDANTONIO,SFORZA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
PRIMO,SILVESTRI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
TOMMASO,SORGI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
GIUSEPPE,SPECIALE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
ANTONINO,SPINELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
BRUNO,STORTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
EGIDIO,SULOTTO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
ELVO,TEMPIA VALENTA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
MAURO,TOGNONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
ROBERTO,TREMELLONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
MARIANO,TROMBETTA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
PIETRO,VALEGGIANI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
TULLIO,VECCHIETTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
GIUSEPPE,VERONESI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
