persona,nome,cognome,gender
http://dati.camera.it/ocd/persona.rdf/p1180,BRUNETTO,BUCCIARELLI DUCCI,male
http://dati.camera.it/ocd/persona.rdf/p11810,VERENIN,GRAZIA,male
http://dati.camera.it/ocd/persona.rdf/p11820,RENZO,LACONI,male
http://dati.camera.it/ocd/persona.rdf/p11830,RAFFAELE,CAFIERO,male
http://dati.camera.it/ocd/persona.rdf/p11840,GIOVAN BATTISTA,ADONNINO,male
http://dati.camera.it/ocd/persona.rdf/p11860,ALESSANDRO,SCOTTI,male
http://dati.camera.it/ocd/persona.rdf/p11870,GIULIO,PASTORE,male
http://dati.camera.it/ocd/persona.rdf/p11880,MARIO,MERIGHI,male
http://dati.camera.it/ocd/persona.rdf/p11890,GIOVANNI,GASPAROLI,male
http://dati.camera.it/ocd/persona.rdf/p11900,ARRIGO,CAIRO,male
http://dati.camera.it/ocd/persona.rdf/p1190,PIETRO,BUFFONE,male
http://dati.camera.it/ocd/persona.rdf/p11910,IRENEO,VINCIGUERRA,male
http://dati.camera.it/ocd/persona.rdf/p11920,VIRGINIO,BORIONI,male
http://dati.camera.it/ocd/persona.rdf/p11940,GAETANO,INVERNIZZI,male
http://dati.camera.it/ocd/persona.rdf/p11950,MILZIADE,VENDITTI,male
http://dati.camera.it/ocd/persona.rdf/p10480,GIULIO,SPALLONE,male
http://dati.camera.it/ocd/persona.rdf/p10800,ETTORE,VIOLA,male
http://dati.camera.it/ocd/persona.rdf/p10900,LUIGI,ZUPPANTE,male
http://dati.camera.it/ocd/persona.rdf/p306921,MAURIZIO,BARADELLO,male
http://dati.camera.it/ocd/persona.rdf/p306961,DINO,SECCO,male
http://dati.camera.it/ocd/persona.rdf/p302040,BRUNO,MURGIA,male
http://dati.camera.it/ocd/persona.rdf/p307117,GIUSEPPE,CHIAZZESE,male
http://dati.camera.it/ocd/persona.rdf/p307126,ROBERTO,CATALDI,male
http://dati.camera.it/ocd/persona.rdf/p307118,MICHELE,SODANO,male
http://dati.camera.it/ocd/persona.rdf/p307108,PINO,CABRAS,male
