"name","prizeName","year","gender","category"
"James Tobin","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1981","1981","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Elias Canetti","The Nobel Prize in Literature 1981","1981","male","http://data.nobelprize.org/terms/Literature"
"Arthur Leonard Schawlow","The Nobel Prize in Physics 1981","1981","male","http://data.nobelprize.org/terms/Physics"
"Kai M. Siegbahn","The Nobel Prize in Physics 1981","1981","male","http://data.nobelprize.org/terms/Physics"
"Nicolaas Bloembergen","The Nobel Prize in Physics 1981","1981","male","http://data.nobelprize.org/terms/Physics"
"David H. Hubel","The Nobel Prize in Physiology or Medicine 1981","1981","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Roger W. Sperry","The Nobel Prize in Physiology or Medicine 1981","1981","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Torsten N. Wiesel","The Nobel Prize in Physiology or Medicine 1981","1981","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Aaron Klug","The Nobel Prize in Chemistry 1982","1982","male","http://data.nobelprize.org/terms/Chemistry"
"George J. Stigler","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1982","1982","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Gabriel García Márquez","The Nobel Prize in Literature 1982","1982","male","http://data.nobelprize.org/terms/Literature"
"Alva Myrdal","The Nobel Peace Prize 1982","1982","female","http://data.nobelprize.org/terms/Peace"
"Alfonso García Robles","The Nobel Peace Prize 1982","1982","male","http://data.nobelprize.org/terms/Peace"
"Kenneth G. Wilson","The Nobel Prize in Physics 1982","1982","male","http://data.nobelprize.org/terms/Physics"
"Bengt I. Samuelsson","The Nobel Prize in Physiology or Medicine 1982","1982","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"John R. Vane","The Nobel Prize in Physiology or Medicine 1982","1982","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Sune K. Bergström","The Nobel Prize in Physiology or Medicine 1982","1982","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Henry Taube","The Nobel Prize in Chemistry 1983","1983","male","http://data.nobelprize.org/terms/Chemistry"
"Gerard Debreu","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1983","1983","male","http://data.nobelprize.org/terms/Economic_Sciences"
"William Golding","The Nobel Prize in Literature 1983","1983","male","http://data.nobelprize.org/terms/Literature"
"Lech Walesa","The Nobel Peace Prize 1983","1983","male","http://data.nobelprize.org/terms/Peace"
"Subramanyan Chandrasekhar","The Nobel Prize in Physics 1983","1983","male","http://data.nobelprize.org/terms/Physics"
"William Alfred Fowler","The Nobel Prize in Physics 1983","1983","male","http://data.nobelprize.org/terms/Physics"
"Barbara McClintock","The Nobel Prize in Physiology or Medicine 1983","1983","female","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Robert Bruce Merrifield","The Nobel Prize in Chemistry 1984","1984","male","http://data.nobelprize.org/terms/Chemistry"
"Richard Stone","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1984","1984","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Jaroslav Seifert","The Nobel Prize in Literature 1984","1984","male","http://data.nobelprize.org/terms/Literature"
"Desmond Mpilo Tutu","The Nobel Peace Prize 1984","1984","male","http://data.nobelprize.org/terms/Peace"
"Carlo Rubbia","The Nobel Prize in Physics 1984","1984","male","http://data.nobelprize.org/terms/Physics"
"Simon van der Meer","The Nobel Prize in Physics 1984","1984","male","http://data.nobelprize.org/terms/Physics"
"César Milstein","The Nobel Prize in Physiology or Medicine 1984","1984","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Georges J.F. Köhler","The Nobel Prize in Physiology or Medicine 1984","1984","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Niels K. Jerne","The Nobel Prize in Physiology or Medicine 1984","1984","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Herbert A. Hauptman","The Nobel Prize in Chemistry 1985","1985","male","http://data.nobelprize.org/terms/Chemistry"
"Jerome Karle","The Nobel Prize in Chemistry 1985","1985","male","http://data.nobelprize.org/terms/Chemistry"
"Franco Modigliani","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1985","1985","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Claude Simon","The Nobel Prize in Literature 1985","1985","male","http://data.nobelprize.org/terms/Literature"
"Klaus von Klitzing","The Nobel Prize in Physics 1985","1985","male","http://data.nobelprize.org/terms/Physics"
"Joseph L. Goldstein","The Nobel Prize in Physiology or Medicine 1985","1985","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Michael S. Brown","The Nobel Prize in Physiology or Medicine 1985","1985","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Dudley R. Herschbach","The Nobel Prize in Chemistry 1986","1986","male","http://data.nobelprize.org/terms/Chemistry"
"John C. Polanyi","The Nobel Prize in Chemistry 1986","1986","male","http://data.nobelprize.org/terms/Chemistry"
"Yuan T. Lee","The Nobel Prize in Chemistry 1986","1986","male","http://data.nobelprize.org/terms/Chemistry"
"James M. Buchanan Jr.","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1986","1986","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Wole Soyinka","The Nobel Prize in Literature 1986","1986","male","http://data.nobelprize.org/terms/Literature"
"Elie Wiesel","The Nobel Peace Prize 1986","1986","male","http://data.nobelprize.org/terms/Peace"
"Ernst Ruska","The Nobel Prize in Physics 1986","1986","male","http://data.nobelprize.org/terms/Physics"
"Gerd Binnig","The Nobel Prize in Physics 1986","1986","male","http://data.nobelprize.org/terms/Physics"
"Heinrich Rohrer","The Nobel Prize in Physics 1986","1986","male","http://data.nobelprize.org/terms/Physics"
"Rita Levi-Montalcini","The Nobel Prize in Physiology or Medicine 1986","1986","female","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Stanley Cohen","The Nobel Prize in Physiology or Medicine 1986","1986","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Charles J. Pedersen","The Nobel Prize in Chemistry 1987","1987","male","http://data.nobelprize.org/terms/Chemistry"
"Donald J. Cram","The Nobel Prize in Chemistry 1987","1987","male","http://data.nobelprize.org/terms/Chemistry"
"Jean-Marie Lehn","The Nobel Prize in Chemistry 1987","1987","male","http://data.nobelprize.org/terms/Chemistry"
"Robert M. Solow","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1987","1987","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Joseph Brodsky","The Nobel Prize in Literature 1987","1987","male","http://data.nobelprize.org/terms/Literature"
"Oscar Arias Sánchez","The Nobel Peace Prize 1987","1987","male","http://data.nobelprize.org/terms/Peace"
"J. Georg Bednorz","The Nobel Prize in Physics 1987","1987","male","http://data.nobelprize.org/terms/Physics"
"K. Alexander Müller","The Nobel Prize in Physics 1987","1987","male","http://data.nobelprize.org/terms/Physics"
"Susumu Tonegawa","The Nobel Prize in Physiology or Medicine 1987","1987","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Hartmut Michel","The Nobel Prize in Chemistry 1988","1988","male","http://data.nobelprize.org/terms/Chemistry"
"Johann Deisenhofer","The Nobel Prize in Chemistry 1988","1988","male","http://data.nobelprize.org/terms/Chemistry"
"Robert Huber","The Nobel Prize in Chemistry 1988","1988","male","http://data.nobelprize.org/terms/Chemistry"
"Maurice Allais","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1988","1988","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Naguib Mahfouz","The Nobel Prize in Literature 1988","1988","male","http://data.nobelprize.org/terms/Literature"
"Jack Steinberger","The Nobel Prize in Physics 1988","1988","male","http://data.nobelprize.org/terms/Physics"
"Leon M. Lederman","The Nobel Prize in Physics 1988","1988","male","http://data.nobelprize.org/terms/Physics"
"Melvin Schwartz","The Nobel Prize in Physics 1988","1988","male","http://data.nobelprize.org/terms/Physics"
"Gertrude B. Elion","The Nobel Prize in Physiology or Medicine 1988","1988","female","http://data.nobelprize.org/terms/Physiology_or_Medicine"
