Persona,gender,graduated
Antonio_Bassolino,male,no
Willer_Bordon,male,no
Antonio_Bruno,male,no
Vincenzo_Ciabarri,male,no
Massimo_D'alema,male,no
Stelio_De_Carolis,male,no
Lino_Osvaldo_Felissari,male,no
Pietro_Folena,male,no
Andrea_Sergio_Garavini,male,no
Luciano_Gelpi,male,no
Renato_Grilli,male,no
Felice_Iossa,male,no
Raniero_Luigi_La_Valle,male,no
Antonio_Lia,male,no
Giacomo_Maccheroni,male,no
Massimo_Massano,male,no
Ivo_Colle',male,no
Alessandro_Maran,male,no
Aldo_Brancher,male,no
Federico_Bricolo,male,no
Mauro_Bulgarelli,male,no
Francesco_Catanoso_Genoese,male,no
Raffaello_De_Brasi,male,no
Rodolfo_Gigli,male,no
Alfiero_Grandi,male,no
Ugo_Maria_Gianfranco_Grimaldi,male,no
Giulio_Antonio_La_Starza,male,no
Luca_Marcora,male,no
Antonio_Mereu,male,no
Alfredo_Sandri,male,no
Cosimo_Giuseppe_Sgobio,male,no
Antonino_Strano,male,no
Luca_Bellotti,male,no
Angelo_Bottino,male,no
Roberto_Caruso,male,no
Marco_Filippeschi,male,no
Alberto_Fluvi,male,no
Claudio_Franci,male,no
Franco_Grotto,male,no
Giovanni_Jacini,male,no
Andrea_Lulli,male,no
Graziano_Mazzarello,male,no
Andrea_Giorgio_Felice_Maria_Orsini,male,no
Domenico_Pappaterra,male,no
Ermete_Realacci,male,no
Giovanni_Giadresco,male,no
Mario_Giannini,male,no
Arnaldo_Armani,male,no
Alfredo_Giovanardi,male,no
Roberto_Giovannini,male,no
Giuseppe_Gramegna,male,no
Massimo_Zunino,male,no
Giovanni_Carbonella,male,no
Carmine_Degennaro,male,no
Arnaldo_Mariotti,male,no
Franco_Angioni,male,no
Vittorio_Michele_Craxi,male,no
Nicolo'_Cristaldi,male,no
Guido_Crosetto,male,no
Giuseppe_Fallica,male,no
Daniele_Galli,male,no
Riccardo_Milana,male,no
Antonio_Rugghia,male,no
Giuseppe_Scalia,male,no
Ciro_Alfano,male,no
Enrico_Buemi,male,no
Antonio_Capuano,male,no
Mauro_Chianale,male,no
Osvaldo_Napoli,male,no
Benedetto_Nicotra,male,no
Marcello_Taglialatela,male,no
Emerenzio_Barbieri,male,no
Giulio_Schmidt,male,no
Gianfranco_Blasi,male,no
Giuseppe_Caldarola,male,no
Giovanni_Lolli,male,no
Gonario_Nieddu,male,no
Aldo_Perrotta,male,no
Salvatore_Adduce,male,no
Gregorio_Fontana,male,no
Giorgio_Lainati,male,no
Marco_Lion,male,no
Antonio_Potenza,male,no
Stefano_Saglia,male,no
Italo_Sandi,male,no
Marco_Stradiotto,male,no
Michele_Vianello,male,no
Alberto_Arrighi,male,no
Carmelo_Briguglio,male,no
Agostino_Ghiglia,male,no
Roberto_Giachetti,male,no
Donato_Lamorte,male,no
Fabio_Baratella,male,no
Mauro_Betta,male,no
Aleandro_Longhi,male,no
Giuseppe_Ruvolo,male,no
Pietro_Cannella,male,no
Ettore_Rosato,male,no
Mauro_Maria_Marino,male,no
Antonello_Giacomelli,male,no
Silvano_Moffa,male,no
Luciano_Pettinari,male,no
Giovanni_Rainisio,male,no
Paolo_Dalle_Fratte,male,no
Michele_Pompeo_Meta,male,no
Mauro_Pili,male,no
Paolo_Fadda,male,no
Giacomo_Bezzi,male,no
Flavio_Pertoldi,male,no
Augusto_Rocchi,male,no
Paolo_Grimoldi,male,no
Pierangelo_Ferrari,male,no
Andrea_Orlando,male,no
Romolo_Benvenuto,male,no
Daniele_Marantelli,male,no
Oriano_Giovanelli,male,no
Claudio_Maderloni,male,no
Ivano_Miglioli,male,no
Giuliano_Pedulli,male,no
Sandro_Brandolini,male,no
Paolo_Monello,male,no
Paolo_Guzzanti,male,no
Baldassare_Armato,male,no
Francesco_Ferrara,male,no
Angelo_Alessandri,male,no
Marco_Martinelli,male,no
Franco_Ceccuzzi,male,no
Antonio_Razzi,male,no
Massimo_Romagnoli,male,no
Franco_Addolorato_Giacinto_Narducci,male,no
Arnold_Cassola,male,no
Giovanni_Farina,male,no
Giuseppe_Angeli,male,no
Salvatore_Ferrigno,male,no
Marco_Fedi,male,no
Dante_D'elpidio,male,no
Lionello_Cosentino,male,no
Salvatore_Cannavo',male,no
Adriano_Musi,male,no
Costantino_Boffa,male,no
Francesco_Laratta,male,no
Pasqualino_Giuditta,male,no
Cesare_Damiano,male,no
Massimo_Fiorio,male,no
Vladimiro_Crisafulli,male,no
Nicola_Leanza,male,no
Angelo_Zucchi,male,no
Gianfranco_Burchiellaro,male,no
Giuseppe_Maria_Reina,male,no
Pietro_Franzoso,male,no
Michele_Bordo,male,no
Gerolamo_Grassi,male,no
Ludovico_Vico,male,no
Salvatore_Tomaselli,male,no
Paolo_Affronti,male,no
Giuseppe_De_Cristofaro,male,no
Silvio_Emilio_Sircana,male,no
Pietro_Marcenaro,male,no
Gianfranco_Nappi,male,no
Giorgio_Oppi,male,no
Massimo_Saverio_Ennio_Fundaro',male,no
Francesco_Piro,male,no
Paolo_Ferrero,male,no
Nicola_Adamo,male,no
Daniele_Capezzone,male,no
Raffaele_Aurisicchio,male,no
Francesco_Forgione,male,no
Maurizio_Turco,male,no
Sergio_D'elia,male,no
Camillo_Piazza,male,no
Maurizio_Acerbo,male,no
Rapisardo_Antinucci,male,no
Angelo_Bonelli,male,no
Luciano_Rossi,male,no
Antonello_Iannarilli,male,no
Armando_Dionisi,male,no
Sergio_Olivieri,male,no
Vittorio_Adolfo,male,no
Eugenio_Minasso,male,no
Giorgio_Holzmann,male,no
Sergio_Pizzolante,male,no
Giovanni_Pagliarini,male,no
Mario_Ricci,male,no
Sandro_Gozi,male,no
Angelo_Compagnon,male,no
Francesco_Proietti_Cosimi,male,no
Stefano_Allasia,male,no
Enrico_Montani,male,no
Giovanni_Fava,male,no
Marco_Pottino,male,no
Gianluca_Pini,male,no
Vincenzo_Oliva,male,no
Giuseppe_Fini,male,no
Gennaro_Migliore,male,no
Vincenzo_Barba,male,no
Maurizio_Noci,male,no
